text,label
there goes _num_ more star !,2
as for the rooms ... old old old .,2
so i wait some more .,2
my advice ... do n't even try it .,2
the owner told me `` _num_ minutes . '',2
if you 're in vegas i recommend this place big time !,2
our dinner was perfect .,2
the rooms and bathrooms are badly outdated and dirty looking .,2
this is the best fitness club i 've been to .,2
"she was very professional , calm and reassuring while i was being worked on .",2
it was so loud and lasted it for over _num_ minutes .,2
"also , the sangria is quite tasty .",2
"perhaps it really is quite good , or maybe i began with low expectations .",2
cons : front desk staff hate their job .,2
i 've stayed at many caesars properties but this one has been the worst .,2
they 're open late and the sangria is also quite delicious !,2
"so , we ordered more ... big mistake .",2
"or heck , just go for really good soup and bread !",2
thanks to the entire hugo boss staff at the forum shops location !,2
this place will make for a great night in vegas .,2
it was the highlight of our meal ( as was the creamed corn ) .,2
the food is made to order and tastes great .,2
i would recommend this place to anyone that enjoys tapas .,2
only some of the veggies were actually cooked .,2
it 's not worth it .,2
she is very detail orientated ... must ask for jenny !,2
we were visiting las vegas and our daughter had a very high fever .,2
my request was ignored .,2
would n't go there for dinner the wow factor just is n't there .,2
she is professional and very nice !,2
i will never return just because of the show ticket sales people alone .,2
excellent service and the food was spot on .,2
that was a _num_ star experience .,2
there was no mention of resort fees being added .,2
"jello shots are fun , too .",2
"their calamari was spot on delicious , but that mushroom puff pastry was spectacular .",2
the bread is also delicious !,2
"no , i 'll never have pizza here again .",2
"the place is clean , easy to locate and staff is friendly and prompt .",2
second of all the air conditioning was way too loud .,2
my wife took my watch eight months ago to get it fixed .,2
please do n't waste your time here .,2
normally we have to wait about 15-20 minutes .,2
i just ignored them even when they are just saying good morning .,2
it was very blah .,2
so there is no `` sure fire '' time to get valet .,2
it has so many stops to the strip .,2
i loved the tomato soup and grilled brie sandwich .,2
"this store is beautiful , the staff was very polite and helpful .",2
the place is kind of outdated and needs new clean carpet !,2
i do n't even know where to start this place is soo horrible .,2
pretty much an overpriced .,2
you got the wrong one !,2
it 's still a winner .,2
"when i checked into my room , the bathtub had a clogged drain .",2
i doubt i will get food from here again .,2
the wait staff is professional and courteous .,2
", things got annoying upon our arrival at the harrah 's .",2
"now , again , i understand this , as frustrating as it was .",2
"well , i was satisfied .",2
everything was stale and gross .,2
the sa 's here are so cute !,2
"the service is always good there , and i love the decor !",2
"however , i think this place is over rated .",2
"sensational food , great service and fun people watching .",2
"sensational food , great service and fun people watching .",2
with that being said ... the whole casino smelled like smoke .,2
ran me away with ease .,2
there is product messed up everywhere .,2
instead i got a service that even the worst motel would never give .,2
gorgeous flowers for our wedding .,2
fantastic service and amazing tech guys .,2
portion sizes were great & the atmosphere was amazing .,2
but the pool was nice and buffet is reasonable .,2
"well worth the money , it was truly an experience of a lifetime !",2
we will definitely be back for more .,2
affordable package and everyone 's friendly !,2
the final straw for me is the difficulty in booking a room .,2
"i can not recommend this place enough , just make sure you make reservations !",2
keep up the good work .,2
the ginger was perfect and the oysters tasted fresh like the sea .,2
bar staff was great .,2
went there super hung over from an epic night and the food is perfect .,2
- no wifi ... .,2
"the service is impeccable , the food is wonderful , and the decor elegant .",2
"i love their salads , entree 's and desserts .",2
the worst hotel i 've ever had in vegas or maybe anywhere .,2
we did n't even sit down .,2
it just did n't leave a good taste in our mouths .,2
everything we ordered was good .,2
"it 's nothing luxurious , but it gets the job done !",2
"also during our process , the customer service was terrible .",2
a condescending store manager .,2
this gucci is a nice one with good selection .,2
"so , yay for fun bartenders .",2
: ) the story does n't end there .,2
i was treated very poorly by their supervisor joy .,2
do n't think we will be staying here again .,2
"great , beautiful , and perfect priced !",2
have n't stayed here in a while and am reminded why .,2
great job dragon noodle !,2
the miracle mile one is big and the line moves fast .,2
we spent our time on our vacation trying to avoid the hotel room .,2
still in my top _num_ favorite restaurants .,2
"what goes around comes around , and they will get theirs !",2
"a classic in las vegas , has been here for years .",2
"it may seem a lil pricey , but its definitely worth the money .",2
the rooms are good and the staff is friendly .,2
i recommend splitting that between two people .,2
but you 're awesome whoever you are .,2
the service was excellent and our water glasses were never close to empty .,2
( not sure if it 's per night ) .,2
i wish i could take my surgeon to another office but i ca n't .,2
good go to the basics too since they are open late .,2
even the bread and butter they bring out it good .,2
if i could give this place no stars i would .,2
atmosphere is nice and tropical ( as one would expect ) .,2
the smell was so bad i had to get a different room .,2
"although not on the menu , i managed to order a spicy margarita .",2
"great food , great service , solid ambiance .",2
"the margaritas , chips , and entrees are excellent !",2
excellent service for s reasonable price .,2
that 's just bad planning right there .,2
the anniversary menu was a real blast from the past .,2
our waiter was very attentive and had great food recommendations .,2
the taste however again was on the flavorless side .,2
the pool with the slides the arcade with all those toys to win !,2
i have n't eaten there.,2
it came out cold and tasted as if it had been sitting around .,2
i did really enjoy my stay here !,2
this place is located inside the venetian .,2
"according to my friend , steak tacos were meh .",2
everything i tasted was good .,2
food is too expensive .,2
i call and leave messages but they never call back .,2
nice spot with `` local '' flavor in las vegas .,2
"prices are reasonable , service is great , and the ambiance is trendy .",2
": ) so upgrade it is , to a suite .",2
friendly staff and fresh warm food .,2
"the food took a bit long to prepare , but definitely worth the wait .",2
my in laws room was the worst !,2
do they really think people are that stupid ?,2
it was one of those rare dishes you hope never ends .,2
it has all these different areas with different vibes .,2
i think i love you .,2
we received free tickets to this event and almost passed it up .,2
find similar deals at much better properties .,2
the staff was friendly yet extremely rushed .,2
next time i will waste my money at the mgm right across the street .,2
the buffet left much to be desired at excalibur and luxor .,2
super friendly staff and a great way to try a bunch of different dishes .,2
we all know how vegas lines are !,2
"service was alright , was n't rude and not a problem .",2
our room was clean but we had a very ugly and limited view .,2
and the service was great too .,2
i hate that he gets paid ( lots of money ! ),2
"service , atmosphere - awesome .",2
i am never ever gon na use lady 's foot locker .,2
"otherwise , people everywhere ... gross !",2
"it is all well priced , quickly made and extremely satisfying .",2
"so smooth , so flavorful , so worth the visit !",2
its a lot of fun .,2
firefly was a good choice .,2
we had about _num_ different tapas to share and they were all wonderful .,2
i 've been here a couple of times and enjoyed both of them .,2
high end clothes with high end prices .,2
the service is okay but their always super busy .,2
perfect portion sizes and loads of flavour .,2
when it finally arrived it was tender but with very little taste .,2
the clientele is very ghetto .,2
great selection of tapas .,2
"ok , that is it i have said too much .",2
we 'll definitely be back .,2
will not come again and will not recommend .,2
only coming here for the bakery in the future .,2
superb attention to service .,2
"another strike , excalibur .",2
even though my expectations were low i have to say that i am disappointed .,2
room was huge and we had great service .,2
we will be back next time we are in town !,2
loved the dark red ambiance and lounge furniture .,2
but our waiter was mia .,2
the chips were warm and fresh and the salsa was awesome .,2
the menu for lunch was nice and the service was excellent .,2
"really enjoyed the atmosphere , food , & prices .",2
michael before dinner then some last minute shopping .,2
support staff was friendly .,2
"our instructor was lance , he was great .",2
the philly with mushrooms and cheese ... .,2
she told me the excalibur never checks anyone in before 3pm without the fee .,2
i was too shocked to say forget it .,2
the staff are always nice .,2
the only good thing about this hotel is the location .,2
the flautas were amazing .,2
it 's like home away from home .,2
great wait to see the vegas strip from another point of view .,2
but i 'd rather not .,2
salami and egg breakfast was excellent .,2
food and drinks are amazing !,2
"everything was early , coordinated and perfect .",2
you ca n't really mess up a salad so those were fine ... .,2
the thai beef salad and beef and mushroom skewers are always a must .,2
this is so much fun !,2
it saved so much time .,2
food at the westside deli was also tasty and affordable .,2
my partner had the standard caesar and enjoyed it as well .,2
"when i complained , they did n't even apologize .",2
but when i went to shower the drain was clogged !,2
"if you are looking for great tapas , this just is n't the place .",2
just had a wonderful stay at harrah 's !,2
i 've done this a few times as well & it 's still amazing !,2
i really like this place and the atmosphere .,2
the steaks are great with lots of flavor .,2
i noticed that all the frozen drink places do this !,2
the hotel towers seem nice .,2
"oh , and the service has always been good here .",2
this place is in the venetian and was incredible .,2
the worse stay in vegas ever .,2
i 'd hate to get stuck here ... worst nightmare come true .,2
needless to say i will never go back here .,2
security was rude and ignorant .,2
he did n't offer us a free room .,2
worst customer service ever .,2
worst customer service ever .,2
worst customer service ever .,2
off to the pool .,2
men 's clothing is on the second floor and was plenty stocked .,2
the coconut shrimp and seafood chowder soup is my favorite .,2
very extensive menu with something for everyone .,2
a little sweet but excellent .,2
love the customer service here .,2
came here for happy hour .,2
we love this place .,2
we love this place .,2
i will never reccommend this place either .,2
he was very patient with me in finding the right wig .,2
anything to try and take a buck from ya .,2
superior service by james .,2
i will definitely have to come back next time .,2
i got hooked up with a suite with a nice view overlooking the strip .,2
i will gladly pay for quality food that was obviously made with love .,2
insurance companies really need to investigate this place for insurance fraud .,2
this is the 2nd time i 've been here .,2
they have shuttle service to varies resorts to pick you up .,2
its always packed here so you really should call ahead and make reservations .,2
sad because _num_ months ago we had the same experience .,2
the location is just perfect .,2
ed and jessica are the worst .,2
he could not have been any more rude .,2
well i was wrong to pick this place .,2
the sauce that was served with it was amazing .,2
flautas are a must have ... .,2
the shower head was old and needed to be replaced .,2
i just loved this place .,2
seems they do n't have a set price .,2
we really enjoyed our meal at circo .,2
our waiter was very knowledgeable and helped me make a great decision .,2
"ridiculously overpriced , you 're better off going anywhere else .",2
staff was extremely unhelpful .,2
"i had low expectations going in , and they did not meet them .",2
"light , fresh , and good .",2
i prefer the mango or pina colada one !,2
it adds an authentic touch to the sweet tasting drink .,2
little jenny can works magic .,2
"they do n't know how to enter payments , change info etc .",2
the service started out like crap and picked up toward the end .,2
the place looks like its abandoned .,2
something going on with yelp review situation and this restaurant .,2
delicious and i 'm a real asian .,2
seriously they are one of the best .,2
it takes away from what it is .,2
"he was very nice , quick and made my drink amazing .",2
the other lady was trying to rush through the busy line .,2
our other favorite dish is their first of the day catch fish .,2
consistently delicious with incredible service .,2
is there a way to avoid it ?,2
would n't even give _num_ star .,2
i found the monorail to be of great use .,2
he seems to not care by any means !,2
what a brilliant location for a walgreens .,2
and you definitely have to order a pitcher of the sangria .,2
i filed a complaint and nothing has been taken care of .,2
"i was like so pissed , and i just left .",2
the worst first impression ever !,2
he came home with nasty looking steaks .,2
the appetizers were all really good and the selection of drinks is pretty extensive .,2
got me to a state that i wanted .,2
we picked this one for our kids .,2
when i arrived they requested these documents .,2
i got the _num_ octane with an extra shot .,2
"service was great , food was delicious , and the atmosphere was inviting .",2
not only was each bite of food utterly delicious but the presentation was amazing .,2
visited during spring break _num_ with my husband .,2
service was courteous and prompt .,2
all i know is that ct tower is nice !,2
dinner at the oyster bar was fantastic !,2
"he was patient with us , explained everything great .",2
there schedule said no restrictions !,2
the place is stunning .,2
literally nothing tasted like it should .,2
amazing seafood and i am from the pacific northwest !,2
stay away and have a better experience in las vegas .,2
their staff is incompetent .,2
thank you discount firearms for a great experience !,2
_num_ x better plus the people who work their are rude .,2
"perfectly cooked , perfectly seasoned , perfectly served from beginning to end .",2
the bartender was super friendly as well .,2
i said umm this is n't what i ordered .,2
i hated paying the daily $ _num_ resort fee plus tax .,2
my boyfriend and i stayed here a few months ago to celebrate my 21st .,2
the infused vodka martini was the winner of the night .,2
"looking for italian in las vegas , look elsewhere .",2
it took us _num_ minutes to get us drinks .,2
and the crispy wonton was over exposed and just way to much .,2
our server was very nice and attentive .,2
but i guess you get what you pay for .,2
i am a big fan of this place !,2
their instructor was very attentive and professional .,2
always friendly faces here !,2
i signed up for yelp just so i could leave this review .,2
but the bagels are the best ones i had outside of new york city .,2
( bc i felt it was taking too long !,2
we walked here and there just everywhere with our luggage with horrible customer service .,2
very quiet room with view of the strip .,2
over _num_ hours for check in .,2
in sales - sean has always been helpful and well informed .,2
he said ok sorry about that and that was it .,2
totally worth going that mile off the strip .,2
the inside is n't much better .,2
this store has very unique jewelry based on coins and other ancient artifacts .,2
perfect area on the strip and near the clubs .,2
the guacamole and queso fundido were excellent .,2
"short staff , long lines , and multiple outlets .",2
the food is great and the service is fantastic .,2
did i mention that i was a virgin until i was _num_ ?,2
_num_ minutes after that we ordered water to drink .,2
we will not consider staying here again .,2
"awesome food , great people to meet and great sangria !",2
"always enjoy their tapas , love the stuffed dates and red sangria !",2
such reasonable pricing for great food .,2
nice layout right on the canal at the venetian .,2
"i went with a party of _num_ , so tip was automatically included .",2
"alas , there are so many more names i ca n't recall .",2
the games are cool .,2
the ladies then went out around _num_ .,2
i had never had it and it was absolutely delicious .,2
last night something went horribly wrong .,2
there is n't much to offer here anyhow .,2
wonderful salads and soups .,2
love coming here before class .,2
it 's a great place to overly entertain your guests on the strip .,2
"each time we come to vegas , this is a must .",2
mini suite room - more expensive no couch room was run down .,2
i could n't even imagine what one looks like .,2
overall though a great dinning experience and we would eat here again .,2
awesome service and beautiful decor .,2
the bathroom was a disaster .,2
rough impression from visiting the other _num_ casinos ?,2
also the mojito pitchers are delicious .,2
very disappointed for a dennys .,2
the only thing that was edible was the pot stickers .,2
i thought this was a great way to get back to my car .,2
even _num_ a night would have been fair to us but not $ _num_ .,2
"my room , i did not love it .",2
atmosphere was not live .,2
rude does n't begin to cover it .,2
it 's a must-try !,2
my edamame was mushy and the seaweed salad was meh .,2
this walgreens is beautiful .,2
as a single female i was not comfortable walking around alone .,2
"great pizza , awesome service martini 's rock .",2
always my first stop in vegas to get properly started !,2
a great place for breakfast .,2
now it was $ _num_ plus the balance on the credit card .,2
i 'm the manager here and i need this table . '',2
no no no no no no no and no !,2
the location is not ideal to me .,2
"even though we wound up getting married elsewhere , we had a blast here .",2
she called sushi _num_ and asked for the hours for all you can eat .,2
great food right by the canal inside the venetian las vegas .,2
well worth the trip off the strip .,2
best little tapas joint in vegas !,2
"years ago , my toddler fell and split her bottom lip in the bath .",2
they are not cheap and they make rich drinks .,2
and then tell your waitress it 's nevada state law .,2
overall it was a great lunch time deal .,2
great place to get your happy you on with friends or family .,2
ordered a prime rib _num_ weeks early for christmas dinner .,2
did not think one would actually be my car unfortunately .,2
saying i love this place is an understatement .,2
same bottle was still there at 10pm .,2
this place has excellent food and the service was great as well .,2
"from the moment we walked in , we knew it was a mistake !",2
the reviews on the service at the pool were horrible .,2
jenny is the best .,2
i loved my lychee sunset martini !,2
the food was just not well prepared .,2
great place keep up the great work !,2
worst experience of my life !,2
just do n't expect a magical experience .,2
this place is a nightmare .,2
the food was tasty and my dish delicious .,2
our group of _num_ all loved their food .,2
i was really dissappointed .,2
funny to see the last person who reviewed firefly is my brother !,2
"but in reality , i know there will be no outcome from this .",2
great awesome authentic mexican food .,2
yes this store is super crowded but the people are really friendly and helpful .,2
good thing i found some good coupons on groupon .,2
i ca n't stop crying .,2
this was the best accident we have ever had !,2
"overall , it was fine and is an ideal location on the strip .",2
the food was pretty good .,2
the food was pretty good .,2
"my recommendation , stay elsewhere .",2
"also , the parking is atrocious .",2
the rooms are outdated and if you want an updated room it cost extra .,2
the server said to me `` this is mexican soul food !,2
the whole experience was awful !,2
adventure dome was fun as usual .,2
i avoid this place if at all possible .,2
kinda pricey at _num_ a head to look at some wax statues .,2
i would n't come here again if it were the last place on earth .,2
it was big enough to go home and eat some more !,2
not worth the trip .,2
they sent me to a manager 's voicemail .,2
adds to the experience .,2
"chips , salsa and guac were great .",2
i ordered the shrimp stir fry luncheon for _num_ .,2
it 's a very disappointing hotel to stay at .,2
it was so bad that i had to find a different casino to gamble .,2
"service is a little snooty , but it is worth going for the food !",2
do i need the voice of god telling me there is a fire alarm ?,2
even this was not cooked all the way .,2
"apparently , management has decided that is not an option .",2
i had the veggie noodle soup and it was excellent .,2
"great place , great service .",2
they helped me with my handicap .,2
going in and out was no problem .,2
i drove by this local twice before i found it .,2
just make sure you do n't have any breathing problems .,2
"the food and cocktails are awesome , and the staff is always friendly .",2
service is excellent and super attentive .,2
every other casino on the strip was booked .,2
great little off the strip place to check out .,2
i 've come here for tapas for years now and still love it .,2
but the front desk was very efficient !,2
beautiful room overlooking the fountains .,2
enjoyed our meal and time here today .,2
i could not wait to come home to write this review .,2
jenny and eva are great and their service is what keeps me coming back .,2
staff was also great !,2
the best on the strip !,2
thank you very much !,2
"great drink selection including wines , great prices and good service !",2
the only edible item in the bag was the fortune cookie !,2
a great find in the land of corporate dining .,2
"solid martinis , great service , and tons of good options .",2
ca n't even help a veteran out .,2
"by far , the filet mignon sliders were the best , absolutely amazing !",2
great place to eat .,2
"driven by the joint for years , finally stopped in .",2
there is crap everywhere .,2
"_num_ hours later , we walk back , during the cold snap .",2
her response was that my time starts _num_ minutes before my appointment .,2
this was so memorable that we had to eat tapas the next night .,2
the scrambled eggs were watery .,2
the view outside my room was all brick wall .,2
great food and atmosphere .,2
i would not only use them again but recommend them to everyone !,2
third - the room is not horrible but it 's not great .,2
at this place the food is tasty .,2
the drinks are so good.,2
food and service was great .,2
go for the sangria too - it 's quite tasty !,2
the staff is always very friendly and helpful .,2
nothing drops besides the bills in your wallet .,2
"it was the most vibrant sample spoon ever served to me , ever !",2
"the service is wonderful , and everyone is just very nice there .",2
thank god we did because we absolutely loved firefly on paradise !,2
queso fundido comes with freshly made tortillas .,2
unfortunately i was more than a bit disappointed with flavor .,2
"the osso buco was fantastic , very tender and fell right off the bone .",2
"the pool area was fun for my boys , and myself as well .",2
the fish and scallop pieces were perfectly cooked and the flavor was spot on .,2
service was not very good .,2
try it you will like it !,2
"not my go to anymore , sadly enough .",2
a great deal for locals with proper id .,2
the food is really authentic mexican food .,2
leisurely paced meal which is rare in vegas .,2
easily one of my favorite places in town .,2
i recommend eating at this spago location !,2
"the food was average , nothing over the top .",2
firefly has such a high rating for a reason !,2
the selection was n't much .,2
it smells like smoke .,2
food is awesome and affordable for lv .,2
tremendous value for las vegas !,2
"well , smelled more like an ash tray now that i remember .",2
nothing blew me away but a very solid choice overall .,2
it was good luck and good times .,2
but kudos to that employee because you are doing a stand up job .,2
she says `` your room might not be ready !,2
however the latest experience was not so enjoyable .,2
our server tina and her team were very attentive and the food was delicious .,2
housekeeping did a mediocre job .,2
i 'm a girl i like makeup and i love me some mac products !,2
really terrible service ... .,2
"anyway , i 'll get to the point .",2
but i do n't judge a book by its cover .,2
it was as if she was on medication or something worse .,2
not much good to say .,2
this is no man cave it 's a boy cave .,2
i 've been wanting to try this place for some time .,2
toilet seats should n't just split apart !,2
: ) the latest styles and reasonable prices !,2
how hard is it to wash your vegetables !,2
the food was amazing .,2
the food was amazing .,2
the food was amazing .,2
they do excellent work and are a joy to deal with .,2
fyi ... that triple shot game is a tourist trap and a scam .,2
so i purchased the closest available seats which were around $ _num_ a ticket .,2
just an assistant of some kind .,2
i ca n't wait for the other one to open up down the street .,2
awesome view of the water show and great service .,2
avoid this place at all cost !,2
absolutely and unbelievable experience .,2
we were playing at a slot machine and got ignored by two cocktail waitresses .,2
no power outlets except for the one in the bathroom .,2
i ultimately walked away with nothing .,2
i loved the calamari .,2
we had such an unpleasant experience i need to warn people .,2
they are all friendly and cool .,2
i will stay again .,2
food was so good !,2
"this ended up not being true , they did have a buffet .",2
the air conditioning was cold and consistent .,2
"quick , easy access , clean .",2
"the room was a standard hotel room , slightly dated .",2
madame tussauds is a `` must do '' when going to vegas !,2
"our instructor was very nice , informative , and attentive .",2
i confirmed that we would be given two beds and we accepted .,2
the food is good and totally authentic .,2
really good service as well as dishes and drinks at happy hour .,2
she was professional and courteous on the phone .,2
happy hour never lets me down !,2
"upon entering the restaurant , i loved the dcor and the ambiance in general .",2
* the casino is depressing looking .,2
"his toe got stuck under the bottom , and it sliced his toe .",2
my friends liked their dishes as well .,2
"so if you 're planning a stay here , request tower i .",2
love love their sangria and tapas .,2
price was $ _num_ per night .,2
teresa and her staff are the best that you can get in las vegas .,2
let me tell you it 's gone downhill .,2
but the hotel part was n't as good.,2
but the hotel not so good not so clean .,2
once the right dish actually arrived only lack luster can describe the food .,2
absolutely the worst check in experience of my life .,2
rooms are nice and have everything a patient will need to feel comfortable .,2
"it 's alright food , i would just rather spend my $ _num_ elsewhere .",2
i wish i grabbed this young kid 's name working tonight .,2
the quality is consistently very good and the service is quite good as well .,2
we really like to eat here when in vegas .,2
once we were seated we waited again _num_ minutes for our lobster .,2
she could have saved me an hour trip .,2
"if you want great italian at a better price , go to pasta mia .",2
"no , but the crowd at harrah 's seemed extra scary .",2
the food was great !,2
the food was great !,2
the food was great !,2
"great sangria , great atmosphere , great food .",2
"however , i was impressed with the hotel .",2
"drinks are pretty basic , stick to the menu .",2
get a reservation and enjoy yourself .,2
been to vegas so many times and never really stayed at this place .,2
the front desk told me that i have to check out by 10:30 am !,2
"do n't get me wrong , i 'm all for this .",2
_num_ minutes at least with no clean up .,2
"i do n't last long , i usually leave .",2
the food was incredible !,2
rooms are extremely nice and spacious .,2
"as i said the rooms are small , the windows do n't really open .",2
there was no balance at all .,2
we stayed at excalibur for _num_ days the week before christmas .,2
they took care of me with great customer service from a super friendly staff .,2
man people are idiots .,2
"best service , and more experienced workers too .",2
this hotel/casino is not cool .,2
so that was nice .,2
the rooms are well worth it and there 's a balcony too .,2
i had the salmon pasta that came with bread .,2
the stuff looked like it 'd been sitting there forever .,2
the dealers were great !,2
"it was delicious , just like everything else i 've ever had there .",2
i highly recommend it to everyone !,2
they told me they 'd comp me a night .,2
"overall , it was a bad experience .",2
pay $ _num_ a week and $ _num_ total to own it .,2
this is our favorite lunch/dinner place in vegas .,2
the bad : this is not a hotel for couples .,2
"everything we ordered was delicious , the lamp chops were the best !",2
the smell when you walk in is overwhelming .,2
the starbucks in paris has wifi .,2
"this mediocre , at best , restaurant has closed .",2
the games are quite boring and not many selection .,2
sandwich was just alright .,2
it 's an older hotel on the strip but i love it !,2
"tacky , stinky and rude !",2
then when we got to the room we had little hairs on our towel .,2
i met my wife here for lunch on the 6th .,2
"bad sign , old !",2
old and musty smelling room .,2
love this place off the strip .,2
"excellent service , great food .",2
best prices for gun rentals and not overly crowded .,2
"overall , i 'm not impressed with the rooms here .",2
it was around $ _num_ for a friday and saturday night .,2
the restrooms are fairly gross .,2
the only issue i have is the toilets or plumbing on the house .,2
go to the grocery store buy all the stuff and make it at home .,2
they literally walk around and kick people out of the pool area at _num_ .,2
one of the best mac stores i have visited .,2
definitely good for the younger crowd .,2
fantastic food & service !,2
it is the equivalent to a run down motel _num_ .,2
the shrimp ceviche was fresh and yummy .,2
do yourself a favor and do n't come here .,2
i 'm sorry but i would n't want to stay here again .,2
the mattress was worn out and needed to be replaced asap .,2
at the least they should 've replaced the order at no charge .,2
this place is dirty and the employees are rude .,2
checked in early and the front desk were not helpful or friendly at all .,2
"i got a soggy , disgusting pile of trash with cheese and ketchup .",2
there are much better options on the strip and especially off the strip .,2
"when we left because i know my stuff , and i said everything right .",2
it was the most romantic setting we could ask for .,2
this is a true nike lovers disneyland .,2
"as for the sugar cookie , it was really tasty .",2
she refused to let him in .,2
definitely worth checking out even if there is nothing to buy .,2
highly recommend to all !,2
on tuesday i called the security again around 10am but no answer .,2
bulbs changed - very satisfied !,2
i will definitely be back next time i 'm in town .,2
this place sucks ass .,2
a beautiful boutique with a very unique selection of clothes and gifts .,2
all dishes are super tasty !,2
that works for me .,2
it 's in a real crappy part of town .,2
i waited a hour and no one showed up .,2
"two levels : women 's downstairs , men 's upstairs .",2
too yucky to take pictures .,2
"for being a resort on the strip , i was pretty disappointed .",2
"sears , macy 's , and dillard 's ) .",2
"but , i like the ones from crown bakery in chinatown much better .",2
"also , do not eat at any of the restaurants in excalibur .",2
actually it is extremely depressing .,2
this place is mmm mmm good .,2
truly is satisfaction guaranteed .,2
both sides of pasta were poor simple as that .,2
i arrived _num_ minutes later .,2
they are from chicago so you know their deli food is good !,2
the monorail is definitely cheaper than a taxi ride .,2
they have the best mojitos & sangria .,2
red lobster at decatur and us _num_ .,2
prompt and friendly service .,2
soup & salad came out pretty quickly .,2
"our waiter was so attentive and professional , with a calm and kind demeanor .",2
shitty awful expensive and disappointing .,2
this hotel seems to be very poorly run .,2
love coming here for there happy hour every week .,2
the elevators were awful .,2
"do n't get me wrong , it was really good .",2
"then , she served it in styrofoam containers .",2
the las vegas location was the first one i tried and i loved it !,2
they entire staff is professional and so fun .,2
"and the patient is doing well , thank you .",2
"the rooms are nice enough , but with few amenities .",2
when i got to hotel after driving all day there was no commercial parking .,2
"unfortunately , my experience was this .",2
tony our instructor was high energy and did a lot with us .,2
great service and amazing ambience !,2
i 'm still in shock this has happened .,2
there are many games including _num_ cent video poker ( my fav ) .,2
the tables are n't over-priced and the atmosphere is fun .,2
food was pretty good and the free entertainment was better than i thought .,2
"and a `` canal '' view , too !",2
i would just work on the smell it smells really bad .,2
"rooms have no mini fridge , microwave , or coffee pot which is inconvenient .",2
it was horrible ... .,2
really disappointed in this place .,2
we normally went to bass pro for our purchased but these guys are great .,2
kind of ridiculous i thought .,2
excellent restaurant for breakfast and dinners .,2
excellent restaurant for breakfast and dinners .,2
but the beef empanadas were amazing !,2
personal favorite location is in the planet hollywood .,2
"overall , we really enjoyed the experience !",2
both events are ideal fun for the whole family .,2
motel six without the amenities .,2
"unorganized and messy , it 's almost impossible to find anything purchase here .",2
his pastas have incredible texture and the flavors are simply amazing .,2
i would argue this is hardly a resort .,2
the decor of the place is rather quaint as well .,2
strangely had to ask for menus .,2
we did n't stay for very long .,2
the food is fresh and authentic .,2
service was also great .,2
uni was brown and it tasted nasty .,2
i had fun playing the penny and quarter slots here .,2
the bathroom also was kept up the entire time i was there .,2
they loved it and the dvd was really well done .,2
"otherwise , the food is awesome and worth the trip off the strip !",2
"as a former server , there 's no excuse for that .",2
the rooms were quite noisy and not the cleanest either .,2
"this time however , i was severely disappointed .",2
"between 11pm and 6am , your room service food options are ... nothing .",2
i like fast and friendly service .,2
i had a good meal here .,2
that is a woman who has a rich life and knows what is important !,2
"haha , great guy .",2
fair warning : do n't get it .,2
i ordered osso bucco so did _num_ of the other _num_ people .,2
the service was great and so were the drinks .,2
the atmosphere is chaotic with lots of loud screaming children .,2
"tapas is my absolute favorite , and this place is heavenly .",2
the tapas are delectable .,2
a helpful lift up and down the strip .,2
